SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
24	1106	156007	156007
25	1106	142474	142474
26	1106	157455	157455
27	1106	164503	164503
28	1106	157755	157755
29	1106	174164	174164
30	1106	141278	141278
0	1107	2052043	742943
1	1107	138722	138722
2	1107	136012	136012
3	1107	129955	129955
4	1107	113007	113007
5	1107	130382	130382
6	1107	165100	165100
7	1107	159493	159493
8	1107	153380	153380
9	1107	149292	149292
10	1107	179743	179743
11	1107	142896	142896
12	1107	155520	155520
13	1107	161708	161708
14	1107	136243	136243
15	1107	159471	159471
16	1107	131434	131434
17	1107	102025	102025
18	1107	125690	125690
19	1107	138434	138434
20	1107	146772	146772
21	1107	153014	153014
22	1107	143039	143039
23	1107	160234	160234
24	1107	158725	158725
25	1107	144467	144467
26	1107	158697	158697
27	1107	167080	167080
28	1107	158703	158703
29	1107	176278	176278
30	1107	143390	143390
0	1108	2108831	703360
1	1108	136016	136016
2	1108	133698	133698
3	1108	128582	128582
4	1108	112699	112699
5	1108	129939	129939
6	1108	164015	164015
7	1108	159086	159086
8	1108	151481	151481
9	1108	147155	147155
10	1108	177764	177764
11	1108	139412	139412
12	1108	153843	153843
13	1108	159502	159502
14	1108	134346	134346
15	1108	157153	157153
16	1108	129012	129012
17	1108	100712	100712
18	1108	124036	124036
19	1108	136189	136189
20	1108	144008	144008
21	1108	150521	150521
22	1108	141033	141033
23	1108	158361	158361
24	1108	156467	156467
25	1108	141552	141552
26	1108	157085	157085
27	1108	164550	164550
28	1108	157801	157801
29	1108	174679	174679
30	1108	141421	141421
0	1109	2054047	699472
1	1109	137602	137602
2	1109	136162	136162
3	1109	129896	129896
4	1109	113405	113405
5	1109	130643	130643
6	1109	166539	166539
7	1109	160159	160159
8	1109	153221	153221
9	1109	149715	149715
10	1109	180451	180451
11	1109	142383	142383
12	1109	156428	156428
13	1109	160262	160262
14	1109	135354	135354
15	1109	159152	159152
16	1109	131214	131214
17	1109	101194	101194
18	1109	125850	125850
19	1109	138747	138747
20	1109	147583	147583
21	1109	152813	152813
22	1109	143787	143787
23	1109	160183	160183
24	1109	158329	158329
25	1109	143892	143892
26	1109	157804	157804
27	1109	165699	165699
28	1109	158872	158872
29	1109	177028	177028
30	1109	142535	142535
0	1110	2059471	733686
1	1110	136945	136945
2	1110	136334	136334
3	1110	129939	129939
4	1110	112947	112947
5	1110	130362	130362
6	1110	165822	165822
7	1110	160191	160191
8	1110	153198	153198
9	1110	149163	149163
10	1110	179908	179908
11	1110	142632	142632
12	1110	156818	156818
13	1110	160705	160705
14	1110	135990	135990
15	1110	159127	159127
16	1110	131507	131507
17	1110	101441	101441
18	1110	125075	125075
19	1110	138008	138008
20	1110	147270	147270
21	1110	151852	151852
22	1110	143797	143797
23	1110	159368	159368
24	1110	158465	158465
25	1110	143439	143439
26	1110	158559	158559
27	1110	165574	165574
28	1110	158490	158490
29	1110	176595	176595
30	1110	141957	141957
0	1111	2071056	731604
1	1111	136334	136334
2	1111	135830	135830
3	1111	128565	128565
4	1111	112080	112080
5	1111	130036	130036
6	1111	165345	165345
7	1111	160390	160390
8	1111	153092	153092
9	1111	148964	148964
10	1111	179306	179306
11	1111	142953	142953
12	1111	155966	155966
13	1111	160074	160074
14	1111	135535	135535
15	1111	158847	158847
16	1111	130785	130785
17	1111	101219	101219
18	1111	125672	125672
19	1111	138083	138083
20	1111	147151	147151
21	1111	151891	151891
22	1111	143323	143323
23	1111	158532	158532
24	1111	157414	157414
25	1111	143241	143241
26	1111	157888	157888
27	1111	165283	165283
28	1111	158737	158737
29	1111	175376	175376
30	1111	141981	141981
0	1112	2065165	729833
1	1112	137140	137140
2	1112	134879	134879
3	1112	129620	129620
4	1112	113111	113111
5	1112	130335	130335
6	1112	165249	165249
7	1112	159557	159557
8	1112	152856	152856
9	1112	148759	148759
10	1112	179720	179720
11	1112	141674	141674
12	1112	156204	156204
13	1112	161013	161013
14	1112	135199	135199
15	1112	158858	158858
16	1112	130863	130863
17	1112	101100	101100
18	1112	124884	124884
19	1112	137675	137675
20	1112	146521	146521
21	1112	152554	152554
22	1112	142649	142649
23	1112	159888	159888
24	1112	157649	157649
25	1112	144359	144359
26	1112	158782	158782
27	1112	166215	166215
28	1112	159694	159694
29	1112	176344	176344
30	1112	142433	142433
0	1113	2265630	750605
1	1113	131225	131225
2	1113	127841	127841
3	1113	124286	124286
4	1113	108868	108868
5	1113	125058	125058
6	1113	157072	157072
7	1113	153827	153827
8	1113	147373	147373
9	1113	142621	142621
10	1113	170519	170519
11	1113	134822	134822
12	1113	148409	148409
13	1113	154157	154157
14	1113	128703	128703
15	1113	151560	151560
16	1113	123701	123701
17	1113	95690	95690
18	1113	120150	120150
19	1113	130640	130640
20	1113	137471	137471
21	1113	145615	145615
22	1113	134797	134797
23	1113	152356	152356
24	1113	148827	148827
25	1113	137999	137999
26	1113	152792	152792
27	1113	160647	160647
28	1113	152105	152105
29	1113	168519	168519
30	1113	137669	137669
0	1114	2036488	734036
1	1114	138300	138300
2	1114	136719	136719
3	1114	130449	130449
4	1114	114214	114214
5	1114	130828	130828
6	1114	166616	166616
7	1114	161553	161553
8	1114	153173	153173
9	1114	150315	150315
10	1114	180825	180825
11	1114	143165	143165
12	1114	156311	156311
13	1114	161692	161692
14	1114	135858	135858
15	1114	159237	159237
16	1114	131921	131921
17	1114	101977	101977
18	1114	125387	125387
19	1114	138684	138684
20	1114	147323	147323
21	1114	153480	153480
22	1114	144060	144060
23	1114	160442	160442
24	1114	158799	158799
25	1114	144950	144950
26	1114	159292	159292
27	1114	167784	167784
28	1114	159675	159675
29	1114	177909	177909
30	1114	143523	143523
0	1115	2086440	707725
1	1115	136191	136191
2	1115	135586	135586
3	1115	129108	129108
4	1115	112354	112354
5	1115	129444	129444
6	1115	164471	164471
7	1115	159054	159054
8	1115	152435	152435
9	1115	149344	149344
10	1115	179134	179134
11	1115	141386	141386
12	1115	155697	155697
13	1115	159923	159923
14	1115	134074	134074
15	1115	157183	157183
16	1115	129654	129654
17	1115	100585	100585
18	1115	124049	124049
19	1115	136279	136279
20	1115	145023	145023
21	1115	151653	151653
22	1115	142612	142612
23	1115	158368	158368
24	1115	157374	157374
25	1115	142735	142735
26	1115	158507	158507
27	1115	165839	165839
28	1115	158291	158291
29	1115	176088	176088
30	1115	142068	142068
0	1116	2067241	713789
1	1116	136958	136958
2	1116	136364	136364
3	1116	129659	129659
4	1116	112665	112665
5	1116	129353	129353
6	1116	165660	165660
7	1116	160067	160067
8	1116	153155	153155
9	1116	148072	148072
10	1116	179035	179035
11	1116	141585	141585
12	1116	155888	155888
13	1116	160913	160913
14	1116	135175	135175
15	1116	159463	159463
16	1116	130857	130857
17	1116	101527	101527
18	1116	124770	124770
19	1116	137534	137534
20	1116	146985	146985
21	1116	152821	152821
22	1116	142518	142518
23	1116	158910	158910
24	1116	157900	157900
25	1116	143795	143795
26	1116	157952	157952
27	1116	166100	166100
28	1116	158779	158779
29	1116	176235	176235
30	1116	143013	143013
0	1117	2071153	703548
1	1117	136534	136534
2	1117	135647	135647
3	1117	129498	129498
4	1117	112556	112556
5	1117	130452	130452
6	1117	164923	164923
7	1117	159807	159807
8	1117	153237	153237
9	1117	148908	148908
10	1117	179906	179906
11	1117	141750	141750
12	1117	156634	156634
13	1117	160348	160348
14	1117	134716	134716
15	1117	158815	158815
16	1117	129636	129636
17	1117	100985	100985
18	1117	124591	124591
19	1117	137879	137879
20	1117	145397	145397
21	1117	151651	151651
22	1117	142583	142583
23	1117	158800	158800
24	1117	157884	157884
25	1117	143491	143491
26	1117	158305	158305
27	1117	166487	166487
28	1117	159472	159472
29	1117	176482	176482
30	1117	142422	142422
0	1118	2062395	703194
1	1118	136494	136494
2	1118	136158	136158
3	1118	128819	128819
4	1118	112762	112762
5	1118	129973	129973
6	1118	165428	165428
7	1118	160358	160358
8	1118	152873	152873
9	1118	148995	148995
10	1118	180197	180197
11	1118	142321	142321
12	1118	156868	156868
13	1118	160513	160513
14	1118	135090	135090
15	1118	158752	158752
16	1118	130495	130495
17	1118	101765	101765
18	1118	125754	125754
19	1118	137527	137527
20	1118	146713	146713
21	1118	152779	152779
22	1118	143023	143023
23	1118	158816	158816
24	1118	158649	158649
25	1118	143534	143534
26	1118	158202	158202
27	1118	166786	166786
28	1118	159860	159860
29	1118	176756	176756
30	1118	142294	142294
0	1119	2086601	713153
1	1119	136688	136688
2	1119	135165	135165
3	1119	129409	129409
4	1119	112115	112115
5	1119	130027	130027
6	1119	164556	164556
7	1119	159254	159254
8	1119	152662	152662
9	1119	148854	148854
10	1119	179433	179433
11	1119	141295	141295
12	1119	155714	155714
13	1119	159390	159390
14	1119	134144	134144
15	1119	158038	158038
16	1119	129428	129428
17	1119	100543	100543
18	1119	123804	123804
19	1119	137509	137509
20	1119	145159	145159
21	1119	151649	151649
22	1119	141056	141056
23	1119	158498	158498
24	1119	157303	157303
25	1119	143323	143323
26	1119	158191	158191
27	1119	165949	165949
28	1119	157762	157762
29	1119	175134	175134
30	1119	142296	142296
0	1120	2104937	697277
1	1120	135923	135923
2	1120	134595	134595
3	1120	128166	128166
4	1120	111426	111426
5	1120	128705	128705
6	1120	164614	164614
7	1120	159101	159101
8	1120	151855	151855
9	1120	147644	147644
10	1120	179243	179243
11	1120	140245	140245
12	1120	155465	155465
13	1120	158949	158949
14	1120	133027	133027
15	1120	158114	158114
16	1120	128830	128830
17	1120	100770	100770
18	1120	123251	123251
19	1120	136897	136897
20	1120	144474	144474
21	1120	150963	150963
22	1120	141610	141610
23	1120	157182	157182
24	1120	156213	156213
25	1120	142568	142568
26	1120	156229	156229
27	1120	165433	165433
28	1120	157897	157897
29	1120	175213	175213
30	1120	141410	141410
0	1121	2182644	670080
1	1121	133506	133506
2	1121	132047	132047
3	1121	125766	125766
4	1121	110265	110265
5	1121	125913	125913
6	1121	161211	161211
7	1121	155908	155908
8	1121	149650	149650
9	1121	145484	145484
10	1121	174723	174723
11	1121	138717	138717
12	1121	152752	152752
13	1121	156817	156817
14	1121	130569	130569
15	1121	154241	154241
16	1121	125898	125898
17	1121	97915	97915
18	1121	121565	121565
19	1121	132809	132809
20	1121	140937	140937
21	1121	147527	147527
22	1121	139293	139293
23	1121	154494	154494
24	1121	153256	153256
25	1121	140718	140718
26	1121	155054	155054
27	1121	163194	163194
28	1121	155721	155721
29	1121	171932	171932
30	1121	140423	140423
0	1122	2086796	693529
1	1122	136470	136470
2	1122	135352	135352
3	1122	129028	129028
4	1122	111711	111711
5	1122	129570	129570
6	1122	164934	164934
7	1122	160415	160415
8	1122	152945	152945
9	1122	148197	148197
10	1122	179572	179572
11	1122	141632	141632
12	1122	155194	155194
13	1122	159884	159884
14	1122	133473	133473
15	1122	158407	158407
16	1122	129325	129325
17	1122	100393	100393
18	1122	124094	124094
19	1122	135996	135996
20	1122	145199	145199
21	1122	151119	151119
22	1122	141985	141985
23	1122	158221	158221
24	1122	156937	156937
25	1122	143401	143401
26	1122	157963	157963
27	1122	166363	166363
28	1122	158649	158649
29	1122	175544	175544
30	1122	142180	142180
0	1123	2103475	695250
1	1123	136222	136222
2	1123	134571	134571
3	1123	128180	128180
4	1123	111367	111367
5	1123	129435	129435
6	1123	164459	164459
7	1123	158628	158628
8	1123	152122	152122
9	1123	148044	148044
10	1123	179087	179087
11	1123	140752	140752
12	1123	155377	155377
13	1123	158843	158843
14	1123	132631	132631
15	1123	157743	157743
16	1123	128174	128174
17	1123	100095	100095
18	1123	123114	123114
19	1123	135754	135754
20	1123	144100	144100
21	1123	151266	151266
22	1123	141321	141321
23	1123	158096	158096
24	1123	156835	156835
25	1123	142658	142658
26	1123	156463	156463
27	1123	165922	165922
28	1123	158758	158758
29	1123	175701	175701
30	1123	141756	141756
0	1124	2088319	689869
1	1124	136274	136274
2	1124	135231	135231
3	1124	128034	128034
4	1124	111566	111566
5	1124	129267	129267
6	1124	165164	165164
7	1124	159726	159726
8	1124	152244	152244
9	1124	148430	148430
10	1124	179891	179891
11	1124	141049	141049
12	1124	156511	156511
13	1124	159810	159810
14	1124	133208	133208
15	1124	157849	157849
16	1124	128389	128389
17	1124	99821	99821
18	1124	124012	124012
19	1124	135718	135718
20	1124	144723	144723
21	1124	151428	151428
22	1124	141431	141431
23	1124	159139	159139
24	1124	157512	157512
25	1124	143388	143388
26	1124	157361	157361
27	1124	166801	166801
28	1124	159265	159265
29	1124	177095	177095
30	1124	142293	142293
0	1201	2370219	833260
1	1201	128040	128040
2	1201	123757	123757
3	1201	120148	120148
4	1201	106467	106467
5	1201	121156	121156
6	1201	154606	154606
7	1201	150026	150026
8	1201	143251	143251
9	1201	138727	138727
10	1201	166982	166982
11	1201	132191	132191
12	1201	143631	143631
13	1201	149638	149638
14	1201	124884	124884
15	1201	148685	148685
16	1201	121353	121353
17	1201	94310	94310
18	1201	116899	116899
19	1201	127987	127987
20	1201	133350	133350
21	1201	141684	141684
22	1201	131629	131629
23	1201	148944	148944
24	1201	146330	146330
25	1201	134660	134660
26	1201	148703	148703
27	1201	157878	157878
28	1201	147170	147170
29	1201	163592	163592
30	1201	134052	134052
0	1202	2145558	743699
1	1202	134890	134890
2	1202	133807	133807
3	1202	127572	127572
4	1202	111457	111457
5	1202	128095	128095
6	1202	162231	162231
7	1202	156985	156985
8	1202	150011	150011
9	1202	145415	145415
10	1202	177175	177175
11	1202	139944	139944
12	1202	152896	152896
13	1202	157617	157617
14	1202	132787	132787
15	1202	156068	156068
16	1202	127822	127822
17	1202	100003	100003
18	1202	121940	121940
19	1202	136440	136440
20	1202	143811	143811
21	1202	149504	149504
22	1202	139805	139805
23	1202	157849	157849
24	1202	155129	155129
25	1202	141296	141296
26	1202	155007	155007
27	1202	163547	163547
28	1202	155111	155111
29	1202	171064	171064
30	1202	140113	140113
0	1203	2155839	754830
1	1203	133920	133920
2	1203	132109	132109
3	1203	127106	127106
4	1203	111214	111214
5	1203	127221	127221
6	1203	162877	162877
7	1203	156835	156835
8	1203	150175	150175
9	1203	145847	145847
10	1203	176371	176371
11	1203	139513	139513
12	1203	152249	152249
13	1203	157683	157683
14	1203	133366	133366
15	1203	155483	155483
16	1203	127334	127334
17	1203	99152	99152
18	1203	121867	121867
19	1203	134574	134574
20	1203	143614	143614
21	1203	149610	149610
22	1203	140033	140033
23	1203	157518	157518
24	1203	154921	154921
25	1203	140834	140834
26	1203	154550	154550
27	1203	161995	161995
28	1203	155076	155076
29	1203	172379	172379
30	1203	139684	139684
0	1204	2157361	773751
1	1204	134153	134153
2	1204	132674	132674
3	1204	126904	126904
4	1204	111702	111702
5	1204	127908	127908
6	1204	162164	162164
7	1204	155562	155562
8	1204	149952	149952
9	1204	145510	145510
10	1204	176188	176188
11	1204	138729	138729
12	1204	151669	151669
13	1204	156854	156854
14	1204	131723	131723
15	1204	155841	155841
16	1204	127985	127985
17	1204	99802	99802
18	1204	122907	122907
19	1204	134818	134818
20	1204	143317	143317
21	1204	149067	149067
22	1204	139642	139642
23	1204	156857	156857
24	1204	154175	154175
25	1204	141006	141006
26	1204	155662	155662
27	1204	163657	163657
28	1204	156045	156045
29	1204	171781	171781
30	1204	139334	139334
0	1205	2129190	818450
1	1205	135028	135028
2	1205	134188	134188
3	1205	127990	127990
4	1205	111621	111621
5	1205	129471	129471
6	1205	162280	162280
7	1205	157944	157944
8	1205	150889	150889
9	1205	147004	147004
10	1205	177632	177632
11	1205	140114	140114
12	1205	153751	153751
13	1205	158605	158605
14	1205	132720	132720
15	1205	156377	156377
16	1205	128704	128704
17	1205	100194	100194
18	1205	123711	123711
19	1205	136146	136146
20	1205	143732	143732
21	1205	149808	149808
22	1205	141406	141406
23	1205	157234	157234
24	1205	155232	155232
25	1205	141575	141575
26	1205	155165	155165
27	1205	163511	163511
28	1205	155909	155909
29	1205	172934	172934
30	1205	140884	140884
0	1206	2163442	734504
1	1206	134396	134396
2	1206	132342	132342
3	1206	127031	127031
4	1206	110749	110749
5	1206	127831	127831
6	1206	161874	161874
7	1206	157349	157349
8	1206	150286	150286
9	1206	145655	145655
10	1206	176260	176260
11	1206	138335	138335
12	1206	151742	151742
13	1206	157541	157541
14	1206	132157	132157
15	1206	154539	154539
16	1206	127728	127728
17	1206	99714	99714
18	1206	122310	122310
19	1206	134490	134490
20	1206	142561	142561
21	1206	148474	148474
22	1206	138561	138561
23	1206	156182	156182
24	1206	153596	153596
25	1206	140127	140127
26	1206	155664	155664
27	1206	163114	163114
28	1206	154525	154525
29	1206	172513	172513
30	1206	139861	139861
0	1207	2117532	778876
1	1207	136031	136031
2	1207	133889	133889
3	1207	128493	128493
4	1207	112378	112378
5	1207	129004	129004
6	1207	163621	163621
7	1207	157742	157742
8	1207	151099	151099
9	1207	147659	147659
10	1207	176632	176632
11	1207	140644	140644
12	1207	153709	153709
13	1207	158778	158778
14	1207	133842	133842
15	1207	157482	157482
16	1207	128403	128403
17	1207	100329	100329
18	1207	124125	124125
19	1207	136502	136502
20	1207	144691	144691
21	1207	150873	150873
22	1207	140606	140606
23	1207	156943	156943
24	1207	155682	155682
25	1207	142115	142115
26	1207	155983	155983
27	1207	163965	163965
28	1207	156942	156942
29	1207	173881	173881
30	1207	141374	141374
0	1208	2125145	738938
1	1208	135703	135703
2	1208	134074	134074
3	1208	128205	128205
4	1208	111624	111624
5	1208	128527	128527
6	1208	163802	163802
7	1208	158088	158088
8	1208	150851	150851
9	1208	146185	146185
10	1208	176724	176724
11	1208	140697	140697
12	1208	153257	153257
13	1208	159375	159375
14	1208	133918	133918
15	1208	157127	157127
16	1208	128637	128637
17	1208	100741	100741
18	1208	123629	123629
19	1208	136151	136151
20	1208	144099	144099
21	1208	150104	150104
22	1208	140408	140408
23	1208	157094	157094
24	1208	156178	156178
25	1208	141454	141454
26	1208	155623	155623
27	1208	163007	163007
28	1208	155942	155942
29	1208	173635	173635
30	1208	140945	140945
0	1209	2094604	739694
1	1209	136114	136114
2	1209	134568	134568
3	1209	129212	129212
4	1209	112261	112261
5	1209	129796	129796
6	1209	164412	164412
7	1209	158301	158301
8	1209	152257	152257
9	1209	147651	147651
10	1209	178074	178074
11	1209	142081	142081
12	1209	155010	155010
13	1209	159489	159489
14	1209	134332	134332
15	1209	157675	157675
16	1209	130708	130708
17	1209	100622	100622
18	1209	124660	124660
19	1209	136780	136780
20	1209	146212	146212
21	1209	151301	151301
22	1209	142194	142194
23	1209	158964	158964
24	1209	156806	156806
25	1209	142883	142883
26	1209	156991	156991
27	1209	164059	164059
28	1209	157014	157014
29	1209	174456	174456
30	1209	141462	141462
0	1210	2079738	772168
1	1210	136829	136829
2	1210	135961	135961
3	1210	128843	128843
4	1210	112947	112947
5	1210	130663	130663
6	1210	165200	165200
7	1210	159662	159662
8	1210	152534	152534
9	1210	148644	148644
10	1210	178194	178194
11	1210	141649	141649
12	1210	155315	155315
13	1210	160852	160852
14	1210	135214	135214
15	1210	158547	158547
16	1210	130008	130008
17	1210	101508	101508
18	1210	124756	124756
19	1210	138259	138259
20	1210	146014	146014
21	1210	151501	151501
22	1210	142821	142821
23	1210	158547	158547
24	1210	157126	157126
25	1210	142952	142952
26	1210	157109	157109
27	1210	164876	164876
28	1210	157683	157683
29	1210	175787	175787
30	1210	141210	141210
0	1211	2088443	768314
1	1211	136071	136071
2	1211	135033	135033
3	1211	128775	128775
4	1211	112523	112523
5	1211	128823	128823
6	1211	164936	164936
7	1211	158232	158232
8	1211	152672	152672
9	1211	148078	148078
10	1211	178799	178799
11	1211	141407	141407
12	1211	154765	154765
13	1211	160854	160854
14	1211	135255	135255
15	1211	158547	158547
16	1211	130468	130468
17	1211	101815	101815
18	1211	124002	124002
19	1211	137509	137509
20	1211	146081	146081
21	1211	151453	151453
22	1211	141681	141681
23	1211	158094	158094
24	1211	156492	156492
25	1211	143615	143615
26	1211	157509	157509
27	1211	164779	164779
28	1211	157276	157276
29	1211	175318	175318
30	1211	141644	141644
0	1212	2104806	757332
1	1212	135796	135796
2	1212	134101	134101
3	1212	128696	128696
4	1212	112259	112259
5	1212	129143	129143
6	1212	163440	163440
7	1212	158193	158193
8	1212	151597	151597
9	1212	147062	147062
10	1212	177780	177780
11	1212	141571	141571
12	1212	154891	154891
13	1212	159370	159370
14	1212	134625	134625
15	1212	158244	158244
16	1212	129327	129327
17	1212	100859	100859
18	1212	123903	123903
19	1212	136887	136887
20	1212	145187	145187
21	1212	150866	150866
22	1212	141169	141169
23	1212	158023	158023
24	1212	155957	155957
25	1212	142769	142769
26	1212	157152	157152
27	1212	164345	164345
28	1212	156620	156620
29	1212	174645	174645
30	1212	141666	141666
0	1213	2385859	863236
1	1213	128570	128570
2	1213	124731	124731
3	1213	119907	119907
4	1213	106613	106613
5	1213	121066	121066
6	1213	155057	155057
7	1213	149744	149744
8	1213	141430	141430
9	1213	138035	138035
10	1213	165901	165901
11	1213	132471	132471
12	1213	142385	142385
13	1213	148742	148742
14	1213	123104	123104
15	1213	145981	145981
16	1213	119086	119086
17	1213	92701	92701
18	1213	116401	116401
19	1213	125545	125545
20	1213	131590	131590
21	1213	142009	142009
22	1213	130131	130131
23	1213	147119	147119
24	1213	144254	144254
25	1213	133240	133240
26	1213	151471	151471
27	1213	158386	158386
28	1213	149854	149854
29	1213	165315	165315
30	1213	134251	134251
0	1214	2099736	770874
1	1214	135385	135385
2	1214	134787	134787
3	1214	128788	128788
4	1214	112332	112332
5	1214	128897	128897
6	1214	164598	164598
7	1214	158611	158611
8	1214	151559	151559
9	1214	147638	147638
10	1214	178667	178667
11	1214	141532	141532
12	1214	154770	154770
13	1214	159594	159594
14	1214	133953	133953
15	1214	157626	157626
16	1214	130349	130349
17	1214	100557	100557
18	1214	124014	124014
19	1214	136362	136362
20	1214	145214	145214
21	1214	151291	151291
22	1214	141913	141913
23	1214	157242	157242
24	1214	157360	157360
25	1214	142390	142390
26	1214	156820	156820
27	1214	164790	164790
28	1214	157701	157701
29	1214	174615	174615
30	1214	141858	141858
0	1215	2141311	760891
1	1215	134250	134250
2	1215	133805	133805
3	1215	127883	127883
4	1215	110883	110883
5	1215	128628	128628
6	1215	163106	163106
7	1215	157743	157743
8	1215	150628	150628
9	1215	146110	146110
10	1215	176564	176564
11	1215	139735	139735
12	1215	153213	153213
13	1215	158124	158124
14	1215	132727	132727
15	1215	155916	155916
16	1215	127999	127999
17	1215	99741	99741
18	1215	122481	122481
19	1215	135300	135300
20	1215	143884	143884
21	1215	150207	150207
22	1215	140659	140659
23	1215	156362	156362
24	1215	154731	154731
25	1215	140894	140894
26	1215	155651	155651
27	1215	162874	162874
28	1215	156028	156028
29	1215	172874	172874
30	1215	140638	140638
0	1216	2121099	753246
1	1216	135502	135502
2	1216	134424	134424
3	1216	128294	128294
4	1216	111333	111333
5	1216	128199	128199
6	1216	163229	163229
7	1216	157681	157681
8	1216	151879	151879
9	1216	146974	146974
10	1216	178110	178110
11	1216	140201	140201
12	1216	153722	153722
13	1216	158781	158781
14	1216	132532	132532
15	1216	157266	157266
16	1216	129024	129024
17	1216	100912	100912
18	1216	123142	123142
19	1216	135962	135962
20	1216	144033	144033
21	1216	150626	150626
22	1216	141156	141156
23	1216	156828	156828
24	1216	155640	155640
25	1216	141760	141760
26	1216	156043	156043
27	1216	164935	164935
28	1216	157175	157175
29	1216	173762	173762
30	1216	140725	140725
0	1217	2147004	750672
1	1217	134388	134388
2	1217	133564	133564
3	1217	127020	127020
4	1217	110803	110803
5	1217	128035	128035
6	1217	162326	162326
7	1217	157143	157143
8	1217	150191	150191
9	1217	146683	146683
10	1217	177370	177370
11	1217	139374	139374
12	1217	153509	153509
13	1217	157978	157978
14	1217	131393	131393
15	1217	156621	156621
16	1217	127298	127298
17	1217	98875	98875
18	1217	122891	122891
19	1217	134958	134958
20	1217	142319	142319
21	1217	149415	149415
