SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	2322563	782445
1	1101	129852	129852
2	1101	126922	126922
3	1101	122111	122111
4	1101	108083	108083
5	1101	123654	123654
6	1101	156433	156433
7	1101	150387	150387
8	1101	144797	144797
9	1101	140110	140110
10	1101	168367	168367
11	1101	134050	134050
12	1101	145705	145705
13	1101	150306	150306
14	1101	126384	126384
15	1101	148288	148288
16	1101	122357	122357
17	1101	95159	95159
18	1101	117300	117300
19	1101	128581	128581
20	1101	134698	134698
21	1101	144112	144112
22	1101	133197	133197
23	1101	151305	151305
24	1101	148040	148040
25	1101	136306	136306
26	1101	151543	151543
27	1101	158790	158790
28	1101	149533	149533
29	1101	166964	166964
30	1101	135052	135052
0	1102	2072225	703889
1	1102	136808	136808
2	1102	135910	135910
3	1102	128981	128981
4	1102	113210	113210
5	1102	129583	129583
6	1102	165145	165145
7	1102	159501	159501
8	1102	152494	152494
9	1102	148792	148792
10	1102	178378	178378
11	1102	141913	141913
12	1102	155661	155661
13	1102	160721	160721
14	1102	135553	135553
15	1102	158842	158842
16	1102	130736	130736
17	1102	101473	101473
18	1102	124777	124777
19	1102	138892	138892
20	1102	146791	146791
21	1102	151950	151950
22	1102	142825	142825
23	1102	159803	159803
24	1102	157871	157871
25	1102	143619	143619
26	1102	157950	157950
27	1102	165757	165757
28	1102	157910	157910
29	1102	174915	174915
30	1102	141963	141963
0	1103	2086268	727562
1	1103	136791	136791
2	1103	134783	134783
3	1103	128800	128800
4	1103	112388	112388
5	1103	130502	130502
6	1103	164150	164150
7	1103	157992	157992
8	1103	152825	152825
9	1103	148050	148050
10	1103	177051	177051
11	1103	141328	141328
12	1103	155495	155495
13	1103	159052	159052
14	1103	135646	135646
15	1103	158679	158679
16	1103	130550	130550
17	1103	101202	101202
18	1103	125233	125233
19	1103	137101	137101
20	1103	146965	146965
21	1103	152088	152088
22	1103	142502	142502
23	1103	159364	159364
24	1103	157743	157743
25	1103	142941	142941
26	1103	157025	157025
27	1103	164921	164921
28	1103	157365	157365
29	1103	174463	174463
30	1103	141686	141686
0	1104	2069172	735395
1	1104	137197	137197
2	1104	135827	135827
3	1104	129333	129333
4	1104	112848	112848
5	1104	130621	130621
6	1104	165633	165633
7	1104	159694	159694
8	1104	153157	153157
9	1104	148465	148465
10	1104	179015	179015
11	1104	142055	142055
12	1104	155912	155912
13	1104	160123	160123
14	1104	135388	135388
15	1104	159136	159136
16	1104	130499	130499
17	1104	101527	101527
18	1104	124648	124648
19	1104	138034	138034
20	1104	147931	147931
21	1104	151797	151797
22	1104	142497	142497
23	1104	159244	159244
24	1104	158197	158197
25	1104	144048	144048
26	1104	157684	157684
27	1104	165772	165772
28	1104	157951	157951
29	1104	175061	175061
30	1104	142483	142483
0	1105	2036476	754070
1	1105	137200	137200
2	1105	136597	136597
3	1105	130297	130297
4	1105	113998	113998
5	1105	131164	131164
6	1105	166753	166753
7	1105	161258	161258
8	1105	154417	154417
9	1105	149307	149307
10	1105	180314	180314
11	1105	143194	143194
12	1105	157021	157021
13	1105	161640	161640
14	1105	136409	136409
15	1105	159866	159866
16	1105	131603	131603
17	1105	101967	101967
18	1105	126095	126095
19	1105	138723	138723
20	1105	148715	148715
21	1105	153796	153796
22	1105	144781	144781
23	1105	160468	160468
24	1105	158971	158971
25	1105	144399	144399
26	1105	159646	159646
27	1105	166710	166710
28	1105	159577	159577
29	1105	176986	176986
30	1105	142601	142601
0	1106	2102700	683220
1	1106	136019	136019
2	1106	133753	133753
3	1106	128786	128786
4	1106	111826	111826
5	1106	129340	129340
6	1106	164169	164169
7	1106	158397	158397
8	1106	152670	152670
9	1106	147331	147331
10	1106	176866	176866
11	1106	140873	140873
12	1106	155202	155202
13	1106	158998	158998
14	1106	134762	134762
15	1106	158247	158247
16	1106	128637	128637
17	1106	100624	100624
18	1106	124028	124028
19	1106	137092	137092
20	1106	145382	145382
21	1106	151630	151630
22	1106	142063	142063
23	1106	157918	157918
