SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	6470949	2260175
61	1101	0	0
62	1101	0	0
63	1101	0	0
64	1101	0	0
65	1101	0	0
66	1101	0	0
0	1102	6470949	2356382
61	1102	0	0
62	1102	0	0
63	1102	0	0
64	1102	0	0
65	1102	0	0
66	1102	0	0
0	1103	6470949	2376700
61	1103	0	0
62	1103	0	0
63	1103	0	0
64	1103	0	0
65	1103	0	0
66	1103	0	0
0	1104	6470949	2415261
61	1104	0	0
62	1104	0	0
63	1104	0	0
64	1104	0	0
65	1104	0	0
66	1104	0	0
0	1105	6470949	2353817
61	1105	0	0
62	1105	0	0
63	1105	0	0
64	1105	0	0
65	1105	0	0
66	1105	0	0
0	1106	6470949	2394548
61	1106	0	0
62	1106	0	0
63	1106	0	0
64	1106	0	0
65	1106	0	0
66	1106	0	0
0	1107	6470949	2352377
61	1107	0	0
62	1107	0	0
63	1107	0	0
64	1107	0	0
65	1107	0	0
66	1107	0	0
0	1108	6470949	2323793
61	1108	0	0
62	1108	0	0
63	1108	0	0
64	1108	0	0
65	1108	0	0
66	1108	0	0
0	1109	6470949	2374864
61	1109	0	0
62	1109	0	0
63	1109	0	0
64	1109	0	0
65	1109	0	0
66	1109	0	0
0	1110	6470949	2410147
61	1110	0	0
62	1110	0	0
63	1110	0	0
64	1110	0	0
65	1110	0	0
66	1110	0	0
0	1111	6470949	2387068
61	1111	0	0
62	1111	0	0
63	1111	0	0
64	1111	0	0
65	1111	0	0
66	1111	0	0
0	1112	6470949	2359401
61	1112	0	0
62	1112	0	0
63	1112	0	0
64	1112	0	0
65	1112	0	0
66	1112	0	0
0	1113	6470949	2296068
61	1113	0	0
62	1113	0	0
63	1113	0	0
64	1113	0	0
65	1113	0	0
66	1113	0	0
0	1114	6470949	2332829
61	1114	0	0
62	1114	0	0
63	1114	0	0
64	1114	0	0
65	1114	0	0
66	1114	0	0
0	1115	6470949	2305647
61	1115	0	0
62	1115	0	0
63	1115	0	0
64	1115	0	0
65	1115	0	0
66	1115	0	0
0	1116	6470949	2304224
61	1116	0	0
62	1116	0	0
63	1116	0	0
64	1116	0	0
65	1116	0	0
66	1116	0	0
0	1117	6470949	2264091
61	1117	0	0
62	1117	0	0
63	1117	0	0
64	1117	0	0
65	1117	0	0
66	1117	0	0
0	1118	6470948	2247945
61	1118	0	0
62	1118	0	0
63	1118	0	0
64	1118	1	1
65	1118	0	0
66	1118	0	0
0	1119	6470949	2210956
61	1119	0	0
62	1119	0	0
63	1119	0	0
64	1119	0	0
65	1119	0	0
66	1119	0	0
0	1120	6470949	2173822
61	1120	0	0
62	1120	0	0
63	1120	0	0
64	1120	0	0
65	1120	0	0
66	1120	0	0
0	1121	6470949	2103078
61	1121	0	0
62	1121	0	0
63	1121	0	0
64	1121	0	0
65	1121	0	0
66	1121	0	0
0	1122	6470949	2134311
61	1122	0	0
62	1122	0	0
63	1122	0	0
64	1122	0	0
65	1122	0	0
66	1122	0	0
0	1123	6470949	2046793
61	1123	0	0
62	1123	0	0
63	1123	0	0
64	1123	0	0
65	1123	0	0
66	1123	0	0
0	1124	6470949	2063693
61	1124	0	0
62	1124	0	0
63	1124	0	0
64	1124	0	0
65	1124	0	0
66	1124	0	0
0	1201	6470949	2293425
61	1201	0	0
62	1201	0	0
63	1201	0	0
64	1201	0	0
65	1201	0	0
66	1201	0	0
0	1202	6470949	2339722
61	1202	0	0
62	1202	0	0
63	1202	0	0
64	1202	0	0
65	1202	0	0
66	1202	0	0
0	1203	6470949	2319800
61	1203	0	0
62	1203	0	0
63	1203	0	0
64	1203	0	0
65	1203	0	0
66	1203	0	0
0	1204	6470949	2352905
61	1204	0	0
62	1204	0	0
63	1204	0	0
64	1204	0	0
65	1204	0	0
66	1204	0	0
0	1205	6470949	2363046
61	1205	0	0
62	1205	0	0
63	1205	0	0
64	1205	0	0
65	1205	0	0
66	1205	0	0
0	1206	6470949	2322758
61	1206	0	0
62	1206	0	0
63	1206	0	0
64	1206	0	0
65	1206	0	0
66	1206	0	0
0	1207	6470949	2317244
61	1207	0	0
62	1207	0	0
63	1207	0	0
64	1207	0	0
65	1207	0	0
66	1207	0	0
0	1208	6470949	2313813
61	1208	0	0
62	1208	0	0
63	1208	0	0
64	1208	0	0
65	1208	0	0
66	1208	0	0
0	1209	6470949	2337510
61	1209	0	0
62	1209	0	0
63	1209	0	0
64	1209	0	0
65	1209	0	0
66	1209	0	0
0	1210	6470949	2334025
61	1210	0	0
62	1210	0	0
63	1210	0	0
64	1210	0	0
65	1210	0	0
66	1210	0	0
0	1211	6470949	2306125
61	1211	0	0
62	1211	0	0
63	1211	0	0
64	1211	0	0
65	1211	0	0
66	1211	0	0
0	1212	6470949	2295103
61	1212	0	0
62	1212	0	0
63	1212	0	0
64	1212	0	0
65	1212	0	0
66	1212	0	0
0	1213	6470949	2181033
61	1213	0	0
62	1213	0	0
63	1213	0	0
64	1213	0	0
65	1213	0	0
66	1213	0	0
0	1214	6470949	2298629
61	1214	0	0
62	1214	0	0
63	1214	0	0
64	1214	0	0
65	1214	0	0
66	1214	0	0
0	1215	6470949	2274656
61	1215	0	0
62	1215	0	0
63	1215	0	0
64	1215	0	0
65	1215	0	0
66	1215	0	0
0	1216	6470949	2270608
61	1216	0	0
62	1216	0	0
63	1216	0	0
64	1216	0	0
65	1216	0	0
66	1216	0	0
0	1217	6470949	2196018
61	1217	0	0
62	1217	0	0
63	1217	0	0
64	1217	0	0
65	1217	0	0
66	1217	0	0
0	1218	6470949	2183058
61	1218	0	0
62	1218	0	0
63	1218	0	0
64	1218	0	0
65	1218	0	0
66	1218	0	0
0	1219	6470949	2157024
61	1219	0	0
62	1219	0	0
63	1219	0	0
64	1219	0	0
65	1219	0	0
66	1219	0	0
0	1220	6470949	2086617
61	1220	0	0
62	1220	0	0
63	1220	0	0
64	1220	0	0
65	1220	0	0
66	1220	0	0
0	1221	6470949	2110163
61	1221	0	0
62	1221	0	0
63	1221	0	0
64	1221	0	0
65	1221	0	0
66	1221	0	0
0	1222	6470949	2127133
61	1222	0	0
62	1222	0	0
63	1222	0	0
64	1222	0	0
65	1222	0	0
66	1222	0	0
0	1223	6470949	2062653
61	1223	0	0
62	1223	0	0
63	1223	0	0
64	1223	0	0
65	1223	0	0
66	1223	0	0
0	1224	6470949	2074998
61	1224	0	0
62	1224	0	0
63	1224	0	0
64	1224	0	0
65	1224	0	0
66	1224	0	0
0	2101	6470949	2139041
61	2101	0	0
62	2101	0	0
63	2101	0	0
64	2101	0	0
65	2101	0	0
66	2101	0	0
0	2102	6470949	2241557
61	2102	0	0
62	2102	0	0
63	2102	0	0
64	2102	0	0
65	2102	0	0
66	2102	0	0
0	2103	6470949	2370301
61	2103	0	0
62	2103	0	0
63	2103	0	0
64	2103	0	0
65	2103	0	0
66	2103	0	0
0	2104	6470949	2334017
61	2104	0	0
62	2104	0	0
63	2104	0	0
64	2104	0	0
65	2104	0	0
66	2104	0	0
0	2105	6470949	2303319
61	2105	0	0
62	2105	0	0
63	2105	0	0
64	2105	0	0
65	2105	0	0
66	2105	0	0
0	2106	6470949	2142509
61	2106	0	0
62	2106	0	0
63	2106	0	0
64	2106	0	0
65	2106	0	0
66	2106	0	0
0	2107	6470949	2249317
61	2107	0	0
62	2107	0	0
63	2107	0	0
64	2107	0	0
65	2107	0	0
66	2107	0	0
0	2108	6470949	2216255
61	2108	0	0
62	2108	0	0
63	2108	0	0
64	2108	0	0
65	2108	0	0
66	2108	0	0
0	2109	6470949	2082834
61	2109	0	0
62	2109	0	0
63	2109	0	0
64	2109	0	0
65	2109	0	0
66	2109	0	0
0	2110	6470949	2309026
61	2110	0	0
62	2110	0	0
63	2110	0	0
64	2110	0	0
65	2110	0	0
66	2110	0	0
0	2111	6470949	2203368
61	2111	0	0
62	2111	0	0
63	2111	0	0
64	2111	0	0
65	2111	0	0
66	2111	0	0
0	2112	6470949	2250851
61	2112	0	0
62	2112	0	0
63	2112	0	0
64	2112	0	0
65	2112	0	0
66	2112	0	0
0	2113	6470949	2066977
61	2113	0	0
62	2113	0	0
63	2113	0	0
64	2113	0	0
65	2113	0	0
66	2113	0	0
0	2114	6470949	2292065
61	2114	0	0
62	2114	0	0
63	2114	0	0
64	2114	0	0
65	2114	0	0
66	2114	0	0
0	2115	6470949	2167067
61	2115	0	0
62	2115	0	0
63	2115	0	0
64	2115	0	0
65	2115	0	0
66	2115	0	0
0	2116	6470949	2091725
61	2116	0	0
62	2116	0	0
63	2116	0	0
64	2116	0	0
65	2116	0	0
66	2116	0	0
0	2117	6470949	2207257
61	2117	0	0
62	2117	0	0
63	2117	0	0
64	2117	0	0
65	2117	0	0
66	2117	0	0
0	2118	6470949	2253557
61	2118	0	0
62	2118	0	0
63	2118	0	0
64	2118	0	0
65	2118	0	0
66	2118	0	0
0	2119	6470949	2176259
61	2119	0	0
62	2119	0	0
63	2119	0	0
64	2119	0	0
65	2119	0	0
66	2119	0	0
0	2120	6470949	2211603
61	2120	0	0
62	2120	0	0
63	2120	0	0
64	2120	0	0
65	2120	0	0
66	2120	0	0
0	2121	6470949	2115844
61	2121	0	0
62	2121	0	0
63	2121	0	0
64	2121	0	0
65	2121	0	0
66	2121	0	0
0	2122	6470949	2140645
61	2122	0	0
62	2122	0	0
63	2122	0	0
64	2122	0	0
65	2122	0	0
66	2122	0	0
0	2123	6470949	2099489
61	2123	0	0
62	2123	0	0
63	2123	0	0
64	2123	0	0
65	2123	0	0
66	2123	0	0
0	2124	6470949	2141658
61	2124	0	0
62	2124	0	0
63	2124	0	0
64	2124	0	0
65	2124	0	0
66	2124	0	0
0	2201	6470949	2076748
61	2201	0	0
62	2201	0	0
63	2201	0	0
64	2201	0	0
65	2201	0	0
66	2201	0	0
0	2202	6470949	2288869
61	2202	0	0
62	2202	0	0
63	2202	0	0
64	2202	0	0
65	2202	0	0
66	2202	0	0
0	2203	6470949	2288003
61	2203	0	0
62	2203	0	0
63	2203	0	0
64	2203	0	0
65	2203	0	0
66	2203	0	0
0	2204	6470949	1979655
61	2204	0	0
62	2204	0	0
63	2204	0	0
64	2204	0	0
65	2204	0	0
66	2204	0	0
0	2205	6470949	2231345
61	2205	0	0
62	2205	0	0
63	2205	0	0
64	2205	0	0
65	2205	0	0
66	2205	0	0
0	2206	6470949	2168352
61	2206	0	0
62	2206	0	0
63	2206	0	0
64	2206	0	0
65	2206	0	0
66	2206	0	0
0	2207	6470949	2230745
61	2207	0	0
62	2207	0	0
63	2207	0	0
64	2207	0	0
65	2207	0	0
66	2207	0	0
0	2208	6470949	1946655
61	2208	0	0
62	2208	0	0
63	2208	0	0
64	2208	0	0
65	2208	0	0
66	2208	0	0
0	2209	6470949	2178065
61	2209	0	0
62	2209	0	0
63	2209	0	0
64	2209	0	0
65	2209	0	0
66	2209	0	0
0	2210	6470949	2174755
61	2210	0	0
62	2210	0	0
63	2210	0	0
64	2210	0	0
65	2210	0	0
66	2210	0	0
0	2211	6470949	2053412
61	2211	0	0
62	2211	0	0
63	2211	0	0
64	2211	0	0
65	2211	0	0
66	2211	0	0
0	2212	6470949	2194422
61	2212	0	0
62	2212	0	0
63	2212	0	0
64	2212	0	0
65	2212	0	0
66	2212	0	0
0	2213	6470949	2008890
61	2213	0	0
62	2213	0	0
63	2213	0	0
64	2213	0	0
65	2213	0	0
66	2213	0	0
0	2214	6470949	2208189
61	2214	0	0
62	2214	0	0
63	2214	0	0
64	2214	0	0
65	2214	0	0
66	2214	0	0
0	2215	6470949	2181938
61	2215	0	0
62	2215	0	0
63	2215	0	0
64	2215	0	0
65	2215	0	0
66	2215	0	0
0	2216	6470949	2337683
61	2216	0	0
62	2216	0	0
63	2216	0	0
64	2216	0	0
65	2216	0	0
66	2216	0	0
0	2217	6470949	2191753
61	2217	0	0
62	2217	0	0
63	2217	0	0
64	2217	0	0
65	2217	0	0
66	2217	0	0
0	2218	6470949	2176966
61	2218	0	0
62	2218	0	0
63	2218	0	0
64	2218	0	0
65	2218	0	0
66	2218	0	0
0	2219	6470949	2265326
61	2219	0	0
62	2219	0	0
63	2219	0	0
64	2219	0	0
65	2219	0	0
66	2219	0	0
0	2220	6470949	2092429
61	2220	0	0
62	2220	0	0
63	2220	0	0
64	2220	0	0
65	2220	0	0
66	2220	0	0
0	2221	6470949	2062758
