SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	6470949	4611306
41	1101	0	0
42	1101	0	0
43	1101	0	0
44	1101	0	0
45	1101	0	0
46	1101	0	0
47	1101	0	0
48	1101	0	0
49	1101	0	0
50	1101	0	0
0	1102	6470949	4793435
41	1102	0	0
42	1102	0	0
43	1102	0	0
44	1102	0	0
45	1102	0	0
46	1102	0	0
47	1102	0	0
48	1102	0	0
49	1102	0	0
50	1102	0	0
0	1103	6470949	4842843
41	1103	0	0
42	1103	0	0
43	1103	0	0
44	1103	0	0
45	1103	0	0
46	1103	0	0
47	1103	0	0
48	1103	0	0
49	1103	0	0
50	1103	0	0
0	1104	6470949	4856274
41	1104	0	0
42	1104	0	0
43	1104	0	0
44	1104	0	0
45	1104	0	0
46	1104	0	0
47	1104	0	0
48	1104	0	0
49	1104	0	0
50	1104	0	0
0	1105	6470949	4804879
41	1105	0	0
42	1105	0	0
43	1105	0	0
44	1105	0	0
45	1105	0	0
46	1105	0	0
47	1105	0	0
48	1105	0	0
49	1105	0	0
50	1105	0	0
0	1106	6470949	4855615
41	1106	0	0
42	1106	0	0
43	1106	0	0
44	1106	0	0
45	1106	0	0
46	1106	0	0
47	1106	0	0
48	1106	0	0
49	1106	0	0
50	1106	0	0
0	1107	6470949	4865095
41	1107	0	0
42	1107	0	0
43	1107	0	0
44	1107	0	0
45	1107	0	0
46	1107	0	0
47	1107	0	0
48	1107	0	0
49	1107	0	0
50	1107	0	0
0	1108	6470948	4878546
41	1108	0	0
42	1108	0	0
43	1108	0	0
44	1108	1	1
45	1108	0	0
46	1108	0	0
47	1108	0	0
48	1108	0	0
49	1108	0	0
50	1108	0	0
0	1109	6470949	4881070
41	1109	0	0
42	1109	0	0
43	1109	0	0
44	1109	0	0
45	1109	0	0
46	1109	0	0
47	1109	0	0
48	1109	0	0
49	1109	0	0
50	1109	0	0
0	1110	6470948	4935362
41	1110	0	0
42	1110	0	0
43	1110	0	0
44	1110	0	0
45	1110	1	1
46	1110	0	0
47	1110	0	0
48	1110	0	0
49	1110	0	0
50	1110	0	0
0	1111	6470949	4944330
41	1111	0	0
42	1111	0	0
43	1111	0	0
44	1111	0	0
45	1111	0	0
46	1111	0	0
47	1111	0	0
48	1111	0	0
49	1111	0	0
50	1111	0	0
0	1112	6470949	4924866
41	1112	0	0
42	1112	0	0
43	1112	0	0
44	1112	0	0
45	1112	0	0
46	1112	0	0
47	1112	0	0
48	1112	0	0
49	1112	0	0
50	1112	0	0
0	1113	6470949	4434628
41	1113	0	0
42	1113	0	0
43	1113	0	0
44	1113	0	0
45	1113	0	0
46	1113	0	0
47	1113	0	0
48	1113	0	0
49	1113	0	0
50	1113	0	0
0	1114	6470949	4914255
41	1114	0	0
42	1114	0	0
43	1114	0	0
44	1114	0	0
45	1114	0	0
46	1114	0	0
47	1114	0	0
48	1114	0	0
49	1114	0	0
50	1114	0	0
0	1115	6470949	4898606
41	1115	0	0
42	1115	0	0
43	1115	0	0
44	1115	0	0
45	1115	0	0
46	1115	0	0
47	1115	0	0
48	1115	0	0
49	1115	0	0
50	1115	0	0
0	1116	6470949	4888610
41	1116	0	0
42	1116	0	0
43	1116	0	0
44	1116	0	0
45	1116	0	0
46	1116	0	0
47	1116	0	0
48	1116	0	0
49	1116	0	0
50	1116	0	0
0	1117	6470949	4885220
41	1117	0	0
42	1117	0	0
43	1117	0	0
44	1117	0	0
45	1117	0	0
46	1117	0	0
47	1117	0	0
48	1117	0	0
49	1117	0	0
50	1117	0	0
0	1118	6470949	4898389
41	1118	0	0
42	1118	0	0
43	1118	0	0
44	1118	0	0
45	1118	0	0
46	1118	0	0
47	1118	0	0
48	1118	0	0
49	1118	0	0
50	1118	0	0
0	1119	6470949	4892894
41	1119	0	0
42	1119	0	0
43	1119	0	0
44	1119	0	0
45	1119	0	0
46	1119	0	0
47	1119	0	0
48	1119	0	0
49	1119	0	0
50	1119	0	0
0	1120	6470949	4840980
41	1120	0	0
42	1120	0	0
43	1120	0	0
44	1120	0	0
45	1120	0	0
46	1120	0	0
47	1120	0	0
48	1120	0	0
49	1120	0	0
50	1120	0	0
0	1121	6470949	4682362
41	1121	0	0
42	1121	0	0
43	1121	0	0
44	1121	0	0
45	1121	0	0
46	1121	0	0
47	1121	0	0
48	1121	0	0
49	1121	0	0
50	1121	0	0
0	1122	6470949	4828604
41	1122	0	0
42	1122	0	0
43	1122	0	0
44	1122	0	0
45	1122	0	0
46	1122	0	0
47	1122	0	0
48	1122	0	0
49	1122	0	0
50	1122	0	0
0	1123	6470949	4772365
41	1123	0	0
42	1123	0	0
43	1123	0	0
44	1123	0	0
