SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	6470927	4844275
67	1101	0	0
68	1101	18	18
69	1101	4	4
70	1101	0	0
0	1102	6470930	5033523
67	1102	0	0
68	1102	10	10
69	1102	9	9
70	1102	0	0
0	1103	6470921	5058384
67	1103	0	0
68	1103	20	20
69	1103	8	8
70	1103	0	0
0	1104	6470920	5038134
67	1104	0	0
68	1104	23	23
69	1104	6	6
70	1104	0	0
0	1105	6470925	4978199
67	1105	0	0
68	1105	18	18
69	1105	6	6
70	1105	0	0
0	1106	6470910	4992645
67	1106	0	0
68	1106	18	18
69	1106	21	21
70	1106	0	0
0	1107	6470928	5025567
67	1107	1	1
68	1107	12	12
69	1107	8	8
70	1107	0	0
0	1108	6470924	5046815
67	1108	0	0
68	1108	16	16
69	1108	9	9
70	1108	0	0
0	1109	6470930	5063676
67	1109	0	0
68	1109	11	11
69	1109	8	8
70	1109	0	0
0	1110	6470914	5099351
67	1110	0	0
68	1110	26	26
69	1110	9	9
70	1110	0	0
0	1111	6470928	5077301
67	1111	0	0
68	1111	16	16
69	1111	5	5
70	1111	0	0
0	1112	6470927	5049200
67	1112	0	0
68	1112	13	13
69	1112	9	9
70	1112	0	0
0	1113	6470912	4581752
67	1113	0	0
68	1113	26	26
69	1113	11	11
70	1113	0	0
0	1114	6470916	5120563
67	1114	0	0
68	1114	22	22
69	1114	11	11
70	1114	0	0
0	1115	6470925	5108671
67	1115	0	0
68	1115	13	13
69	1115	11	11
70	1115	0	0
0	1116	6470920	5108603
67	1116	0	0
68	1116	23	23
69	1116	6	6
70	1116	0	0
0	1117	6470936	5056507
67	1117	0	0
68	1117	12	12
69	1117	1	1
70	1117	0	0
0	1118	6470932	5094605
67	1118	0	0
68	1118	13	13
69	1118	4	4
70	1118	0	0
0	1119	6470926	5064308
67	1119	0	0
68	1119	15	15
69	1119	8	8
70	1119	0	0
0	1120	6470915	5034349
67	1120	0	0
68	1120	26	26
69	1120	8	8
70	1120	0	0
0	1121	6470930	4821245
67	1121	0	0
68	1121	16	16
69	1121	3	3
70	1121	0	0
0	1122	6470926	5012295
67	1122	0	0
68	1122	18	18
69	1122	5	5
70	1122	0	0
0	1123	6470931	4984049
67	1123	0	0
68	1123	16	16
69	1123	2	2
70	1123	0	0
0	1124	6470924	4927764
67	1124	0	0
68	1124	13	13
69	1124	12	12
70	1124	0	0
0	1201	6470919	4787174
67	1201	0	0
68	1201	15	15
69	1201	15	15
70	1201	0	0
0	1202	6470912	4974771
67	1202	0	0
68	1202	12	12
69	1202	25	25
70	1202	0	0
0	1203	6470925	5006254
67	1203	0	0
68	1203	14	14
69	1203	10	10
70	1203	0	0
0	1204	6470912	5012854
67	1204	0	0
68	1204	29	29
69	1204	8	8
70	1204	0	0
0	1205	6470926	4964031
67	1205	0	0
68	1205	15	15
69	1205	8	8
70	1205	0	0
0	1206	6470921	4978115
67	1206	0	0
68	1206	21	21
69	1206	7	7
70	1206	0	0
0	1207	6470926	5030890
67	1207	1	1
68	1207	14	14
69	1207	8	8
70	1207	0	0
0	1208	6470916	5049192
67	1208	0	0
68	1208	20	20
69	1208	13	13
70	1208	0	0
0	1209	6470929	5045793
67	1209	0	0
68	1209	14	14
69	1209	6	6
70	1209	0	0
0	1210	6470922	5090106
67	1210	0	0
68	1210	16	16
69	1210	11	11
70	1210	0	0
0	1211	6470927	5064281
67	1211	0	0
68	1211	9	9
69	1211	13	13
70	1211	0	0
0	1212	6470937	5093504
67	1212	0	0
68	1212	9	9
69	1212	3	3
70	1212	0	0
0	1213	6470935	4689367
67	1213	0	0
68	1213	10	10
69	1213	4	4
70	1213	0	0
0	1214	6470927	5122302
67	1214	0	0
68	1214	18	18
69	1214	4	4
70	1214	0	0
0	1215	6470933	5108104
67	1215	0	0
68	1215	11	11
69	1215	5	5
70	1215	0	0
0	1216	6470930	5114086
67	1216	0	0
68	1216	13	13
69	1216	6	6
70	1216	0	0
