SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1217	6470921	5068207
67	1217	0	0
68	1217	16	16
69	1217	12	12
70	1217	0	0
0	1218	6470925	5092307
67	1218	0	0
68	1218	18	18
69	1218	6	6
70	1218	0	0
0	1219	6470930	5081745
67	1219	0	0
68	1219	10	10
69	1219	9	9
70	1219	0	0
0	1220	6470929	5065988
67	1220	0	0
68	1220	12	12
69	1220	8	8
70	1220	0	0
0	1221	6470913	4837287
67	1221	0	0
68	1221	27	27
69	1221	9	9
70	1221	0	0
0	1222	6470916	5011315
67	1222	0	0
68	1222	29	29
69	1222	4	4
70	1222	0	0
0	1223	6470933	4991127
67	1223	0	0
68	1223	9	9
69	1223	7	7
70	1223	0	0
0	1224	6470924	4960732
67	1224	0	0
68	1224	17	17
69	1224	8	8
70	1224	0	0
0	2101	6470906	4715969
67	2101	0	0
68	2101	31	31
69	2101	12	12
70	2101	0	0
0	2102	6470933	4951810
67	2102	0	0
68	2102	6	6
69	2102	10	10
70	2102	0	0
0	2103	6470926	5009355
67	2103	0	0
68	2103	14	14
69	2103	9	9
70	2103	0	0
0	2104	6470930	5014384
67	2104	0	0
68	2104	13	13
69	2104	6	6
70	2104	0	0
0	2105	6470934	5019836
67	2105	0	0
68	2105	8	8
69	2105	7	7
70	2105	0	0
0	2106	6470925	4955062
67	2106	0	0
68	2106	8	8
69	2106	16	16
70	2106	0	0
0	2107	6470929	5014033
67	2107	0	0
68	2107	12	12
69	2107	8	8
70	2107	0	0
0	2108	6470925	4970580
67	2108	0	0
68	2108	11	11
69	2108	13	13
70	2108	0	0
0	2109	6470926	4883476
67	2109	0	0
68	2109	12	12
69	2109	11	11
70	2109	0	0
0	2110	6470921	5068240
67	2110	0	0
68	2110	22	22
69	2110	6	6
70	2110	0	0
0	2111	6470911	5052503
67	2111	0	0
68	2111	11	11
69	2111	27	27
70	2111	0	0
0	2112	6470918	5053772
67	2112	0	0
68	2112	25	25
69	2112	6	6
70	2112	0	0
0	2113	6470899	4467936
67	2113	0	0
68	2113	37	37
69	2113	13	13
70	2113	0	0
0	2114	6470930	5020445
67	2114	0	0
68	2114	11	11
69	2114	8	8
70	2114	0	0
0	2115	6470930	5051690
67	2115	0	0
68	2115	10	10
69	2115	9	9
70	2115	0	0
0	2116	6470929	5049316
67	2116	0	0
68	2116	13	13
69	2116	7	7
70	2116	0	0
0	2117	6470915	5013197
67	2117	0	0
68	2117	23	23
69	2117	11	11
70	2117	0	0
0	2118	6470923	5028722
67	2118	0	0
68	2118	18	18
69	2118	8	8
70	2118	0	0
0	2119	6470927	5005536
67	2119	0	0
68	2119	12	12
69	2119	10	10
70	2119	0	0
0	2120	6470932	4995340
67	2120	0	0
68	2120	8	8
69	2120	9	9
70	2120	0	0
0	2121	6470929	4636541
67	2121	0	0
68	2121	14	14
69	2121	6	6
70	2121	0	0
0	2122	6470932	4954481
67	2122	0	0
68	2122	10	10
69	2122	7	7
70	2122	0	0
0	2123	6470934	4873112
67	2123	0	0
68	2123	11	11
69	2123	4	4
70	2123	0	0
0	2124	6470936	4909928
67	2124	0	0
68	2124	8	8
69	2124	5	5
70	2124	0	0
0	2201	6470918	4671244
67	2201	0	0
68	2201	21	21
69	2201	10	10
70	2201	0	0
0	2202	6470927	4893152
67	2202	0	0
68	2202	11	11
69	2202	11	11
70	2202	0	0
0	2203	6470925	4986269
67	2203	0	0
68	2203	16	16
69	2203	8	8
70	2203	0	0
0	2204	6470930	4956681
67	2204	0	0
68	2204	14	14
69	2204	5	5
70	2204	0	0
0	2205	6470923	4929073
67	2205	0	0
68	2205	16	16
69	2205	10	10
70	2205	0	0
0	2206	6470918	4952041
67	2206	0	0
68	2206	17	17
69	2206	14	14
70	2206	0	0
0	2207	6470928	4945797
67	2207	0	0
68	2207	11	11
69	2207	10	10
70	2207	0	0
0	2208	6470914	4895709
67	2208	0	0
68	2208	24	24
69	2208	11	11
70	2208	0	0
0	2209	6470929	4950804
67	2209	0	0
68	2209	15	15
69	2209	5	5
70	2209	0	0
0	2210	6470932	5074543
67	2210	0	0
68	2210	12	12
69	2210	5	5
70	2210	0	0
0	2211	6470908	4987570
67	2211	0	0
68	2211	21	21
69	2211	20	20
70	2211	0	0
0	2212	6470928	4953146
67	2212	0	0
68	2212	11	11
69	2212	10	10
70	2212	0	0
0	2213	6470922	4414393
67	2213	0	0
68	2213	20	20
69	2213	7	7
70	2213	0	0
0	2214	6470934	4865458
67	2214	0	0
68	2214	12	12
69	2214	3	3
70	2214	0	0
0	2215	6470928	4978308
67	2215	0	0
68	2215	15	15
69	2215	6	6
70	2215	0	0
0	2216	6470928	4959078
67	2216	0	0
68	2216	12	12
69	2216	9	9
70	2216	0	0
0	2217	6470923	4683320
67	2217	0	0
68	2217	20	20
69	2217	6	6
70	2217	0	0
0	2218	6470933	5034369
67	2218	0	0
68	2218	12	12
69	2218	4	4
70	2218	0	0
0	2219	6470934	5037111
67	2219	0	0
68	2219	9	9
69	2219	6	6
70	2219	0	0
0	2220	6470937	4952367
67	2220	0	0
68	2220	8	8
69	2220	4	4
70	2220	0	0
0	2221	6470910	4679993
67	2221	0	0
68	2221	28	28
69	2221	11	11
70	2221	0	0
0	2222	6470926	4943701
67	2222	0	0
68	2222	12	12
69	2222	11	11
70	2222	0	0
0	2223	6470929	4886265
67	2223	0	0
68	2223	8	8
69	2223	12	12
70	2223	0	0
0	2224	6470926	4884623
67	2224	0	0
68	2224	14	14
69	2224	9	9
70	2224	0	0
