SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	6470927	4646884
51	1101	0	0
52	1101	0	0
53	1101	6	6
54	1101	15	15
55	1101	0	0
56	1101	0	0
57	1101	0	0
58	1101	0	0
59	1101	1	1
60	1101	0	0
0	1102	6470920	4893330
51	1102	2	2
52	1102	0	0
53	1102	7	7
54	1102	16	16
55	1102	2	2
56	1102	0	0
57	1102	0	0
58	1102	0	0
59	1102	1	1
60	1102	1	1
0	1103	6470919	4920408
51	1103	0	0
52	1103	0	0
53	1103	6	6
54	1103	19	19
55	1103	2	2
56	1103	0	0
57	1103	0	0
58	1103	0	0
59	1103	3	3
60	1103	0	0
0	1104	6470921	4902590
51	1104	0	0
52	1104	0	0
53	1104	2	2
54	1104	21	21
55	1104	3	3
56	1104	0	0
57	1104	0	0
58	1104	0	0
59	1104	2	2
60	1104	0	0
0	1105	6470931	4905485
51	1105	0	0
52	1105	1	1
53	1105	4	4
54	1105	12	12
55	1105	0	0
56	1105	0	0
57	1105	0	0
58	1105	0	0
59	1105	1	1
60	1105	0	0
0	1106	6470915	4898222
51	1106	0	0
52	1106	0	0
53	1106	7	7
54	1106	19	19
55	1106	3	3
56	1106	0	0
57	1106	0	0
58	1106	0	0
59	1106	5	5
60	1106	0	0
0	1107	6470920	4928798
51	1107	0	0
52	1107	0	0
53	1107	4	4
54	1107	21	21
55	1107	2	2
56	1107	0	0
57	1107	0	0
58	1107	0	0
59	1107	2	2
60	1107	0	0
0	1108	6470930	4932353
51	1108	0	0
52	1108	1	1
53	1108	0	0
54	1108	16	16
55	1108	0	0
56	1108	0	0
57	1108	0	0
58	1108	0	0
59	1108	1	1
60	1108	1	1
0	1109	6470924	4947982
51	1109	1	1
52	1109	1	1
53	1109	5	5
54	1109	14	14
55	1109	3	3
56	1109	0	0
57	1109	0	0
58	1109	0	0
59	1109	1	1
60	1109	0	0
0	1110	6470920	4999045
51	1110	0	0
52	1110	0	0
53	1110	7	7
54	1110	16	16
55	1110	4	4
56	1110	0	0
57	1110	0	0
58	1110	0	0
59	1110	2	2
60	1110	0	0
0	1111	6470932	4989836
51	1111	0	0
52	1111	0	0
53	1111	5	5
54	1111	10	10
55	1111	2	2
56	1111	0	0
57	1111	0	0
58	1111	0	0
59	1111	0	0
60	1111	0	0
0	1112	6470916	4942809
51	1112	1	1
52	1112	0	0
53	1112	7	7
54	1112	19	19
55	1112	3	3
56	1112	0	0
57	1112	0	0
58	1112	0	0
59	1112	3	3
60	1112	0	0
0	1113	6470915	4851265
51	1113	1	1
52	1113	0	0
53	1113	6	6
54	1113	20	20
55	1113	5	5
56	1113	0	0
57	1113	0	0
58	1113	0	0
59	1113	2	2
60	1113	0	0
0	1114	6470903	4971073
51	1114	0	0
52	1114	1	1
53	1114	15	15
54	1114	25	25
55	1114	3	3
56	1114	0	0
57	1114	0	0
58	1114	0	0
59	1114	2	2
60	1114	0	0
0	1115	6470928	4951298
51	1115	0	0
52	1115	0	0
53	1115	6	6
54	1115	9	9
55	1115	4	4
56	1115	0	0
57	1115	0	0
58	1115	0	0
59	1115	2	2
60	1115	0	0
0	1116	6470919	4917996
51	1116	0	0
52	1116	0	0
53	1116	7	7
54	1116	17	17
55	1116	2	2
56	1116	0	0
57	1116	0	0
58	1116	0	0
59	1116	4	4
60	1116	0	0
0	1117	6470925	4810079
51	1117	0	0
52	1117	0	0
53	1117	4	4
54	1117	15	15
55	1117	2	2
56	1117	0	0
57	1117	0	0
58	1117	0	0
59	1117	3	3
60	1117	0	0
0	1118	6470929	4929540
51	1118	0	0
52	1118	0	0
53	1118	5	5
54	1118	12	12
55	1118	2	2
56	1118	0	0
57	1118	0	0
58	1118	0	0
59	1118	1	1
60	1118	0	0
0	1119	6470928	4937037
51	1119	1	1
52	1119	0	0
53	1119	6	6
54	1119	10	10
55	1119	2	2
56	1119	0	0
57	1119	0	0
58	1119	0	0
59	1119	2	2
60	1119	0	0
0	1120	6470924	4852696
51	1120	0	0
52	1120	0	0
53	1120	6	6
54	1120	13	13
55	1120	3	3
56	1120	0	0
57	1120	0	0
58	1120	0	0
59	1120	3	3
60	1120	0	0
0	1121	6470928	4787980
51	1121	0	0
52	1121	0	0
53	1121	5	5
54	1121	11	11
55	1121	2	2
56	1121	0	0
57	1121	0	0
58	1121	0	0
59	1121	3	3
60	1121	0	0
0	1122	6470928	4859324
51	1122	1	1
52	1122	1	1
53	1122	8	8
54	1122	8	8
55	1122	3	3
56	1122	0	0
57	1122	0	0
58	1122	0	0
59	1122	0	0
60	1122	0	0
0	1123	6470931	4774243
51	1123	1	1
52	1123	0	0
53	1123	1	1
54	1123	11	11
55	1123	3	3
56	1123	0	0
57	1123	0	0
58	1123	0	0
59	1123	2	2
60	1123	0	0
0	1124	6470931	4831296
51	1124	0	0
52	1124	0	0
53	1124	4	4
54	1124	10	10
55	1124	1	1
56	1124	0	0
57	1124	0	0
58	1124	0	0
59	1124	3	3
60	1124	0	0
0	1201	6470915	4612925
51	1201	2	2
52	1201	0	0
53	1201	2	2
54	1201	24	24
55	1201	3	3
56	1201	0	0
57	1201	0	0
58	1201	0	0
59	1201	3	3
60	1201	0	0
0	1202	6470927	4898008
51	1202	0	0
52	1202	1	1
53	1202	3	3
54	1202	13	13
55	1202	2	2
56	1202	0	0
57	1202	0	0
58	1202	0	0
59	1202	3	3
60	1202	0	0
0	1203	6470935	4895690
51	1203	1	1
52	1203	0	0
53	1203	1	1
54	1203	9	9
55	1203	3	3
56	1203	0	0
57	1203	0	0
58	1203	0	0
59	1203	0	0
60	1203	0	0
0	1204	6470921	4870780
51	1204	0	0
52	1204	0	0
53	1204	3	3
54	1204	18	18
55	1204	4	4
56	1204	0	0
57	1204	0	0
58	1204	0	0
59	1204	3	3
60	1204	0	0
0	1205	6470921	4909385
51	1205	0	0
52	1205	0	0
53	1205	7	7
54	1205	13	13
55	1205	4	4
56	1205	0	0
57	1205	0	0
58	1205	0	0
59	1205	4	4
60	1205	0	0
0	1206	6470912	4922922
51	1206	0	0
52	1206	0	0
53	1206	9	9
54	1206	22	22
55	1206	5	5
56	1206	0	0
57	1206	0	0
58	1206	0	0
59	1206	1	1
60	1206	0	0
0	1207	6470923	4931689
51	1207	0	0
52	1207	0	0
53	1207	4	4
54	1207	17	17
55	1207	3	3
56	1207	0	0
57	1207	0	0
58	1207	0	0
59	1207	2	2
60	1207	0	0
0	1208	6470919	4878512
