SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	6322252	1179178
71	1101	3368	3368
72	1101	32033	32033
73	1101	92913	92913
74	1101	20383	20383
0	1102	5876761	964759
71	1102	59077	59077
72	1102	115948	115948
73	1102	268989	268989
74	1102	150174	150174
0	1103	6167715	1331617
71	1103	9980	9980
72	1103	22482	22482
73	1103	211289	211289
74	1103	59483	59483
0	1104	6276726	1552547
71	1104	1698	1698
72	1104	4531	4531
73	1104	168324	168324
74	1104	19670	19670
0	1105	5963362	1282577
71	1105	28668	28668
72	1105	44195	44195
73	1105	291443	291443
74	1105	143281	143281
0	1106	6183643	1571898
71	1106	7360	7360
72	1106	11517	11517
73	1106	216575	216575
74	1106	51854	51854
0	1107	6143131	1617512
71	1107	8921	8921
72	1107	14645	14645
73	1107	237468	237468
74	1107	66784	66784
0	1108	6134989	1659353
71	1108	12449	12449
72	1108	16243	16243
73	1108	222004	222004
74	1108	85264	85264
0	1109	5911814	1488768
71	1109	44536	44536
72	1109	57217	57217
73	1109	275339	275339
74	1109	182043	182043
0	1110	6119486	1730869
71	1110	8242	8242
72	1110	12725	12725
73	1110	254842	254842
74	1110	75654	75654
0	1111	6097537	1719184
71	1111	10846	10846
72	1111	14554	14554
73	1111	263188	263188
74	1111	84824	84824
0	1112	6252646	1891611
71	1112	1328	1328
72	1112	3150	3150
73	1112	194692	194692
74	1112	19133	19133
0	1113	6198951	1622432
71	1113	4763	4763
72	1113	8257	8257
73	1113	214283	214283
74	1113	44695	44695
0	1114	6261540	1952532
71	1114	990	990
72	1114	2193	2193
73	1114	190830	190830
74	1114	15396	15396
0	1115	6089299	1793806
71	1115	7096	7096
72	1115	11211	11211
73	1115	283753	283753
74	1115	79590	79590
0	1116	6200619	1937981
71	1116	740	740
72	1116	1685	1685
73	1116	249254	249254
74	1116	18651	18651
0	1117	6008337	1755512
71	1117	20394	20394
72	1117	24831	24831
73	1117	278772	278772
74	1117	138615	138615
0	1118	5493403	1267020
71	1118	151631	151631
72	1118	163190	163190
73	1118	327457	327457
74	1118	335268	335268
0	1119	5388951	1182726
71	1119	201209	201209
72	1119	201551	201551
73	1119	321818	321818
74	1119	357420	357420
0	1120	4976944	767591
71	1120	388162	388162
72	1120	378419	378419
73	1120	325443	325443
74	1120	401981	401981
0	1121	6248881	1918145
71	1121	613	613
72	1121	1330	1330
73	1121	206260	206260
74	1121	13865	13865
0	1122	6068181	1836657
71	1122	10573	10573
72	1122	12531	12531
73	1122	277241	277241
74	1122	102423	102423
0	1123	6141460	1889860
71	1123	3351	3351
72	1123	4896	4896
73	1123	269852	269852
74	1123	51390	51390
0	1124	6212592	1947463
71	1124	1031	1031
72	1124	1793	1793
73	1124	233670	233670
74	1124	21863	21863
0	1201	6394996	1265083
71	1201	611	611
72	1201	7106	7106
73	1201	62628	62628
74	1201	5608	5608
0	1202	6360542	1401631
71	1202	693	693
72	1202	4275	4275
73	1202	98165	98165
74	1202	7274	7274
0	1203	6296282	1429106
71	1203	1713	1713
72	1203	5151	5151
73	1203	149632	149632
74	1203	18171	18171
0	1204	6251624	1482377
71	1204	2618	2618
72	1204	6150	6150
73	1204	183608	183608
74	1204	26949	26949
0	1205	6216659	1523172
71	1205	3218	3218
72	1205	6351	6351
73	1205	209509	209509
74	1205	35212	35212
0	1206	6173477	1506414
71	1206	5979	5979
72	1206	9787	9787
73	1206	229676	229676
74	1206	52030	52030
0	1207	6299596	1730238
71	1207	657	657
72	1207	1612	1612
73	1207	158416	158416
74	1207	10668	10668
0	1208	6210830	1696016
71	1208	3207	3207
72	1208	6069	6069
73	1208	213584	213584
74	1208	37259	37259
0	1209	5243938	786045
71	1209	270352	270352
72	1209	284508	284508
73	1209	320213	320213
74	1209	351938	351938
0	1210	6273179	1856991
71	1210	976	976
72	1210	2182	2182
73	1210	179533	179533
74	1210	15079	15079
0	1211	6195453	1801535
71	1211	3088	3088
72	1211	3968	3968
73	1211	230738	230738
74	1211	37702	37702
0	1212	5133596	764655
71	1212	316438	316438
72	1212	325073	325073
73	1212	320670	320670
74	1212	375172	375172
0	1213	6134990	1560290
71	1213	11082	11082
72	1213	13570	13570
73	1213	234473	234473
74	1213	76834	76834
0	1214	5584525	1255840
71	1214	135146	135146
72	1214	141536	141536
73	1214	304326	304326
74	1214	305416	305416
0	1215	6099172	1780795
71	1215	7138	7138
72	1215	9572	9572
73	1215	272506	272506
74	1215	82561	82561
0	1216	6362184	2083278
71	1216	102	102
72	1216	272	272
73	1216	106518	106518
74	1216	1873	1873
0	1217	5145566	876251
71	1217	297212	297212
72	1217	311478	311478
73	1217	323022	323022
74	1217	393671	393671
0	1218	4972556	729266
71	1218	382650	382650
72	1218	368110	368110
73	1218	334209	334209
74	1218	413424	413424
