SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1219	5162128	931782
71	1219	317486	317486
72	1219	312287	312287
73	1219	309961	309961
74	1219	369087	369087
0	1220	5188770	963648
71	1220	296860	296860
72	1220	281451	281451
73	1220	322800	322800
74	1220	381068	381068
0	1221	5590400	1240739
71	1221	148721	148721
72	1221	152817	152817
73	1221	291323	291323
74	1221	287688	287688
0	1222	5353216	1107504
71	1222	238380	238380
72	1222	234316	234316
73	1222	300794	300794
74	1222	344243	344243
0	1223	6116238	1840090
71	1223	7428	7428
72	1223	7847	7847
73	1223	257694	257694
74	1223	81742	81742
0	1224	5246458	916383
71	1224	300992	300992
72	1224	304206	304206
73	1224	277776	277776
74	1224	341517	341517
0	2101	6108266	789414
71	2101	31644	31644
72	2101	73916	73916
73	2101	163912	163912
74	2101	93211	93211
0	2102	5509828	582418
71	2102	184405	184405
72	2102	227931	227931
73	2102	294126	294126
74	2102	254659	254659
0	2103	5325261	479495
71	2103	327091	327091
72	2103	299297	299297
73	2103	253551	253551
74	2103	265749	265749
0	2104	5226948	530454
71	2104	363306	363306
72	2104	296763	296763
73	2104	276766	276766
74	2104	307166	307166
0	2105	5309958	689123
71	2105	320654	320654
72	2105	287593	287593
73	2105	257867	257867
74	2105	294877	294877
0	2106	5190150	541412
71	2106	369566	369566
72	2106	310647	310647
73	2106	295391	295391
74	2106	305195	305195
0	2107	6129873	1594567
71	2107	6335	6335
72	2107	9913	9913
73	2107	235826	235826
74	2107	89002	89002
0	2108	5244210	721948
71	2108	365455	365455
72	2108	223151	223151
73	2108	289560	289560
74	2108	348573	348573
0	2109	4906914	436941
71	2109	431256	431256
72	2109	387840	387840
73	2109	341079	341079
74	2109	403860	403860
0	2110	5001499	637511
71	2110	416495	416495
72	2110	332567	332567
73	2110	325540	325540
74	2110	394848	394848
0	2111	4968303	618738
71	2111	420398	420398
72	2111	357261	357261
73	2111	324841	324841
74	2111	400146	400146
0	2112	5093363	703187
71	2112	377757	377757
72	2112	308896	308896
73	2112	302215	302215
74	2112	388718	388718
0	2113	6213270	1566386
71	2113	2862	2862
72	2113	4545	4545
73	2113	204164	204164
74	2113	46108	46108
0	2114	4840856	530090
71	2114	443245	443245
72	2114	394265	394265
73	2114	345796	345796
74	2114	446787	446787
0	2115	4943279	649843
71	2115	418182	418182
72	2115	363272	363272
73	2115	324851	324851
74	2115	421365	421365
0	2116	4977166	665068
71	2116	405409	405409
72	2116	345884	345884
73	2116	308962	308962
74	2116	433528	433528
0	2117	5054970	790035
71	2117	387841	387841
72	2117	290409	290409
73	2117	300804	300804
74	2117	436925	436925
0	2118	4969695	721550
71	2118	402065	402065
72	2118	328438	328438
73	2118	311734	311734
74	2118	459017	459017
0	2119	5149785	952667
71	2119	334282	334282
72	2119	286404	286404
73	2119	269746	269746
74	2119	430732	430732
0	2120	4895935	688199
71	2120	422930	422930
72	2120	354185	354185
73	2120	335292	335292
74	2120	462607	462607
0	2121	5020554	605296
71	2121	392374	392374
72	2121	360261	360261
73	2121	319802	319802
74	2121	377958	377958
0	2122	4920272	658588
71	2122	413364	413364
72	2122	357210	357210
73	2122	324291	324291
74	2122	455812	455812
0	2123	4992706	708158
71	2123	382632	382632
72	2123	361102	361102
73	2123	308700	308700
74	2123	425809	425809
0	2124	5303460	988478
71	2124	285955	285955
72	2124	258694	258694
73	2124	237043	237043
74	2124	385797	385797
0	2201	6256040	1002482
71	2201	6859	6859
72	2201	27494	27494
73	2201	134199	134199
74	2201	46357	46357
0	2202	5506570	573926
71	2202	285335	285335
72	2202	248711	248711
73	2202	224868	224868
74	2202	205465	205465
0	2203	6338406	1500548
71	2203	932	932
72	2203	2519	2519
73	2203	111445	111445
74	2203	17647	17647
0	2204	6161881	1412428
71	2204	2715	2715
72	2204	6647	6647
73	2204	240016	240016
74	2204	59690	59690
0	2205	5250527	562921
71	2205	351339	351339
72	2205	300625	300625
73	2205	267765	267765
74	2205	300693	300693
0	2206	5195685	552042
71	2206	361927	361927
72	2206	325912	325912
73	2206	281793	281793
74	2206	305632	305632
0	2207	5194118	640687
71	2207	350762	350762
72	2207	331680	331680
73	2207	273106	273106
74	2207	321283	321283
0	2208	5194262	620869
71	2208	357747	357747
72	2208	322014	322014
73	2208	279321	279321
74	2208	317605	317605
0	2209	6219008	1663022
71	2209	852	852
72	2209	1341	1341
73	2209	221200	221200
74	2209	28548	28548
0	2210	5041182	626938
71	2210	376476	376476
72	2210	373702	373702
73	2210	292519	292519
74	2210	387070	387070
0	2211	4954451	572381
71	2211	407625	407625
72	2211	371313	371313
73	2211	316321	316321
74	2211	421239	421239
0	2212	5002862	653221
71	2212	408892	408892
72	2212	367654	367654
73	2212	320205	320205
74	2212	371336	371336
0	2213	5184351	570908
71	2213	353788	353788
72	2213	328935	328935
73	2213	277894	277894
74	2213	325981	325981
0	2214	4985077	662623
71	2214	393929	393929
72	2214	371264	371264
73	2214	308584	308584
74	2214	412095	412095
0	2215	4963263	629082
71	2215	405301	405301
72	2215	374577	374577
73	2215	319159	319159
74	2215	408649	408649
0	2216	5064004	721072
71	2216	385212	385212
72	2216	331823	331823
73	2216	294187	294187
74	2216	395723	395723
0	2217	6174364	1850754
71	2217	1192	1192
72	2217	2279	2279
73	2217	254253	254253
74	2217	38861	38861
0	2218	5169550	869714
71	2218	353198	353198
72	2218	286580	286580
73	2218	274479	274479
74	2218	387142	387142
0	2219	4932059	713931
71	2219	410634	410634
72	2219	358115	358115
73	2219	324628	324628
74	2219	445513	445513
0	2220	4919277	688666
71	2220	417105	417105
72	2220	357197	357197
73	2220	325099	325099
74	2220	452271	452271
0	2221	4953126	602603
71	2221	422536	422536
72	2221	355836	355836
73	2221	333657	333657
74	2221	405794	405794
0	2222	4956169	681250
71	2222	405562	405562
72	2222	374207	374207
73	2222	318102	318102
74	2222	416909	416909
0	2223	4925798	659717
71	2223	410812	410812
72	2223	382107	382107
73	2223	324978	324978
74	2223	427254	427254
0	2224	5163140	865912
71	2224	336187	336187
72	2224	303114	303114
73	2224	277905	277905
74	2224	390603	390603
