SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1221	5456290	1668893
75	1221	31714	31714
76	1221	60397	60397
77	1221	445425	445425
78	1221	477123	477123
0	1222	5052019	1352405
75	1222	61547	61547
76	1222	66070	66070
77	1222	527233	527233
78	1222	764080	764080
0	1223	5864356	2127225
75	1223	9600	9600
76	1223	54185	54185
77	1223	344765	344765
78	1223	198043	198043
0	1224	6033648	2241337
75	1224	3990	3990
76	1224	46302	46302
77	1224	256861	256861
78	1224	130148	130148
0	2101	5614849	682948
75	2101	26974	26974
76	2101	17426	17426
77	2101	273460	273460
78	2101	538240	538240
0	2102	5929752	1208018
75	2102	10757	10757
76	2102	26267	26267
77	2102	241184	241184
78	2102	262989	262989
0	2103	5751654	1204883
75	2103	25272	25272
76	2103	33332	33332
77	2103	304932	304932
78	2103	355759	355759
0	2104	5097903	677931
75	2104	48571	48571
76	2104	42085	42085
77	2104	445708	445708
78	2104	836682	836682
0	2105	5014290	698830
75	2105	55969	55969
76	2105	40397	40397
77	2105	461947	461947
78	2105	898346	898346
0	2106	5289525	941621
75	2106	48650	48650
76	2106	21894	21894
77	2106	395462	395462
78	2106	715418	715418
0	2107	5131340	820166
75	2107	54828	54828
76	2107	26753	26753
77	2107	461493	461493
78	2107	796535	796535
0	2108	4923157	839118
75	2108	64550	64550
76	2108	41444	41444
77	2108	512109	512109
78	2108	929689	929689
0	2109	4859003	764550
75	2109	66170	66170
76	2109	53495	53495
77	2109	548593	548593
78	2109	943688	943688
0	2110	4975116	1001504
75	2110	66174	66174
76	2110	41526	41526
77	2110	514052	514052
78	2110	874081	874081
0	2111	4960512	984626
75	2111	66667	66667
76	2111	46305	46305
77	2111	530695	530695
78	2111	866770	866770
0	2112	4644554	577763
75	2112	83358	83358
76	2112	58755	58755
77	2112	612005	612005
78	2112	1072277	1072277
0	2113	5611045	1321978
75	2113	29347	29347
76	2113	49564	49564
77	2113	357665	357665
78	2113	423328	423328
0	2114	4940338	991860
75	2114	68068	68068
76	2114	51453	51453
77	2114	522535	522535
78	2114	888555	888555
0	2115	4453212	506746
75	2115	89368	89368
76	2115	68170	68170
77	2115	645446	645446
78	2115	1214753	1214753
0	2116	4789897	985724
75	2116	75201	75201
76	2116	56326	56326
77	2116	571194	571194
78	2116	978331	978331
0	2117	4966270	1043990
75	2117	69365	69365
76	2117	45490	45490
77	2117	504113	504113
78	2117	885711	885711
0	2118	4746795	969726
75	2118	81944	81944
76	2118	46221	46221
77	2118	546817	546817
78	2118	1049172	1049172
0	2119	4560527	805248
75	2119	88534	88534
76	2119	67086	67086
77	2119	631643	631643
78	2119	1123159	1123159
0	2120	4851332	984962
75	2120	73472	73472
76	2120	62218	62218
77	2120	552088	552088
78	2120	931839	931839
0	2121	4944068	964341
75	2121	68349	68349
76	2121	53220	53220
77	2121	545799	545799
78	2121	859513	859513
0	2122	5335697	1464218
75	2122	44834	44834
76	2122	63248	63248
77	2122	480372	480372
78	2122	546798	546798
0	2123	5827200	1848606
75	2123	10267	10267
76	2123	56659	56659
77	2123	357896	357896
78	2123	218927	218927
0	2124	5270897	1368197
75	2124	45517	45517
76	2124	67873	67873
77	2124	503476	503476
78	2124	583186	583186
0	2201	5580552	522783
75	2201	22771	22771
76	2201	33403	33403
77	2201	260271	260271
78	2201	573952	573952
0	2202	5346529	699143
75	2202	36463	36463
76	2202	31863	31863
77	2202	382787	382787
78	2202	673307	673307
0	2203	5296092	624281
75	2203	38453	38453
76	2203	28174	28174
77	2203	387093	387093
78	2203	721137	721137
0	2204	6443976	2016887
75	2204	147	147
76	2204	10082	10082
77	2204	7923	7923
78	2204	8821	8821
0	2205	5546125	1146952
75	2205	33374	33374
76	2205	45533	45533
77	2205	360691	360691
78	2205	485226	485226
0	2206	5965921	1582060
75	2206	13026	13026
76	2206	38758	38758
77	2206	267162	267162
78	2206	186082	186082
0	2207	5885423	1547047
75	2207	17287	17287
76	2207	42580	42580
77	2207	300150	300150
78	2207	225509	225509
0	2208	5148037	905239
75	2208	52924	52924
76	2208	35456	35456
77	2208	435373	435373
78	2208	799159	799159
0	2209	4901792	695744
75	2209	66021	66021
76	2209	51165	51165
77	2209	533218	533218
78	2209	918753	918753
0	2210	4912367	798639
75	2210	64431	64431
76	2210	47302	47302
77	2210	536426	536426
78	2210	910423	910423
0	2211	4993569	964545
75	2211	63914	63914
76	2211	40016	40016
77	2211	520361	520361
78	2211	853089	853089
0	2212	5043773	965029
75	2212	61764	61764
76	2212	51990	51990
77	2212	498498	498498
78	2212	814924	814924
0	2213	5062351	615394
75	2213	62438	62438
76	2213	44230	44230
77	2213	451321	451321
78	2213	850609	850609
0	2214	4833109	798393
75	2214	70801	70801
76	2214	56651	56651
77	2214	527524	527524
78	2214	982864	982864
0	2215	5706572	1781623
75	2215	19509	19509
76	2215	67621	67621
77	2215	341769	341769
78	2215	335478	335478
0	2216	4927780	1000378
75	2216	67277	67277
76	2216	54764	54764
77	2216	516886	516886
78	2216	904242	904242
0	2217	4752651	857739
75	2217	76250	76250
76	2217	64096	64096
77	2217	576693	576693
78	2217	1001259	1001259
0	2218	5741630	1884184
75	2218	17535	17535
76	2218	58065	58065
77	2218	379289	379289
78	2218	274430	274430
0	2219	4766837	998160
75	2219	76470	76470
76	2219	64974	64974
77	2219	569431	569431
78	2219	993237	993237
0	2220	5678483	1831400
75	2220	21512	21512
76	2220	61092	61092
77	2220	407617	407617
78	2220	302245	302245
0	2221	5597694	1625938
75	2221	26514	26514
76	2221	55433	55433
77	2221	383878	383878
78	2221	407430	407430
0	2222	4734101	911970
75	2222	86513	86513
76	2222	49472	49472
77	2222	575477	575477
78	2222	1025386	1025386
0	2223	4740420	921383
75	2223	79773	79773
76	2223	62458	62458
77	2223	589148	589148
78	2223	999150	999150
0	2224	4729221	767962
75	2224	80568	80568
76	2224	57640	57640
77	2224	551145	551145
78	2224	1052375	1052375
