SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	6248813	1385460
75	1101	2026	2026
76	1101	17588	17588
77	1101	76731	76731
78	1101	125791	125791
0	1102	5854980	1284316
75	1102	11528	11528
76	1102	30799	30799
77	1102	224062	224062
78	1102	349580	349580
0	1103	5978613	1512873
75	1103	8960	8960
76	1103	24627	24627
77	1103	218600	218600
78	1103	240149	240149
0	1104	5886300	1545496
75	1104	13684	13684
76	1104	31809	31809
77	1104	253654	253654
78	1104	285502	285502
0	1105	5925602	1675297
75	1105	13950	13950
76	1105	34295	34295
77	1105	246209	246209
78	1105	250893	250893
0	1106	6125260	1866324
75	1106	7133	7133
76	1106	29405	29405
77	1106	162346	162346
78	1106	146805	146805
0	1107	5837418	1722200
75	1107	17397	17397
76	1107	40603	40603
77	1107	294811	294811
78	1107	280720	280720
0	1108	5788661	1759053
75	1108	16261	16261
76	1108	43165	43165
77	1108	307012	307012
78	1108	315850	315850
0	1109	5647144	1651572
75	1109	22720	22720
76	1109	47357	47357
77	1109	363779	363779
78	1109	389949	389949
0	1110	6090060	2171683
75	1110	5080	5080
76	1110	39656	39656
77	1110	199142	199142
78	1110	137011	137011
0	1111	5745400	1841038
75	1111	17719	17719
76	1111	47598	47598
77	1111	338485	338485
78	1111	321747	321747
0	1112	5401044	1537920
75	1112	39405	39405
76	1112	60327	60327
77	1112	426721	426721
78	1112	543452	543452
0	1113	6112006	1990948
75	1113	5002	5002
76	1113	36104	36104
77	1113	192480	192480
78	1113	125357	125357
0	1114	5978559	2186437
75	1114	10639	10639
76	1114	46640	46640
77	1114	262100	262100
78	1114	173011	173011
0	1115	5712337	1934497
75	1115	21302	21302
76	1115	57390	57390
77	1115	361431	361431
78	1115	318489	318489
0	1116	6079401	2335413
75	1116	4813	4813
76	1116	48390	48390
77	1116	218919	218919
78	1116	119426	119426
0	1117	5822100	2093233
75	1117	14376	14376
76	1117	55846	55846
77	1117	341417	341417
78	1117	237210	237210
0	1118	5471453	1765548
75	1118	37052	37052
76	1118	63251	63251
77	1118	443015	443015
78	1118	456178	456178
0	1119	4983197	1284493
75	1119	65300	65300
76	1119	67849	67849
77	1119	541057	541057
78	1119	813546	813546
0	1120	5781228	2087951
75	1120	18841	18841
76	1120	55934	55934
77	1120	341334	341334
78	1120	273612	273612
0	1121	6109413	2265661
75	1121	3997	3997
76	1121	37366	37366
77	1121	200937	200937
78	1121	119236	119236
0	1122	6207070	2493558
75	1122	1991	1991
76	1122	35125	35125
77	1122	159835	159835
78	1122	66928	66928
0	1123	6068664	2314590
75	1123	4983	4983
76	1123	44976	44976
77	1123	228877	228877
78	1123	123449	123449
0	1124	6089740	2288507
75	1124	3988	3988
76	1124	41921	41921
77	1124	221931	221931
78	1124	113369	113369
0	1201	6124104	1238890
75	1201	5730	5730
76	1201	22421	22421
77	1201	137308	137308
78	1201	181386	181386
0	1202	6317949	1746453
75	1202	1584	1584
76	1202	20344	20344
77	1202	56496	56496
78	1202	74576	74576
0	1203	6093001	1599805
75	1203	5687	5687
76	1203	30264	30264
77	1203	162761	162761
78	1203	179236	179236
0	1204	6077676	1681264
75	1204	6348	6348
76	1204	33684	33684
77	1204	167777	167777
78	1204	185464	185464
0	1205	6032920	1726673
75	1205	8071	8071
76	1205	38098	38098
77	1205	183303	183303
78	1205	208557	208557
0	1206	6047719	1752013
75	1206	8050	8050
76	1206	33705	33705
77	1206	213116	213116
78	1206	168359	168359
0	1207	6312700	2130553
75	1207	1327	1327
76	1207	22156	22156
77	1207	88349	88349
78	1207	46417	46417
0	1208	5955572	1832729
75	1208	9951	9951
76	1208	38417	38417
77	1208	250805	250805
78	1208	216204	216204
0	1209	5086007	1056046
75	1209	53676	53676
76	1209	56014	56014
77	1209	493284	493284
78	1209	781968	781968
0	1210	5701765	1720982
75	1210	19174	19174
76	1210	48812	48812
77	1210	352776	352776
78	1210	348422	348422
0	1211	5100844	1151374
75	1211	51505	51505
76	1211	57656	57656
77	1211	497914	497914
78	1211	763030	763030
0	1212	5742375	1841930
75	1212	19810	19810
76	1212	52321	52321
77	1212	350816	350816
78	1212	305627	305627
0	1213	6153490	2019208
75	1213	2802	2802
76	1213	33138	33138
77	1213	181183	181183
78	1213	100336	100336
0	1214	5937434	2105496
75	1214	8064	8064
76	1214	49773	49773
77	1214	288425	288425
78	1214	187253	187253
0	1215	6469051	2615466
75	1215	12	12
76	1215	318	318
77	1215	934	934
78	1215	634	634
0	1216	5850336	2067666
75	1216	11335	11335
76	1216	55160	55160
77	1216	334982	334982
78	1216	219136	219136
0	1217	5888156	2135232
75	1217	10250	10250
76	1217	54688	54688
77	1217	324302	324302
78	1217	193553	193553
0	1218	5720197	1992570
75	1218	17934	17934
76	1218	60895	60895
77	1218	384697	384697
78	1218	287226	287226
0	1219	5739806	2035085
75	1219	16632	16632
76	1219	61266	61266
77	1219	388462	388462
78	1219	264783	264783
0	1220	4981367	1268457
75	1220	64317	64317
76	1220	67646	67646
77	1220	549309	549309
78	1220	808310	808310
